wNomeFonte;wSufixo;wSistema
et0786-rp;p;HCM_espec-update_etp
et0786;w;HCM_espec-update_etp
et2376-b01;w;HCM_espec-update_etp
et2376-b02;w;HCM_espec-update_etp
et2376-b03;w;HCM_espec-update_etp
et2376-b04;w;HCM_espec-update_etp
et2376-g01;w;HCM_espec-update_etp
et2376-q01;w;HCM_espec-update_etp
et2376-v01;w;HCM_espec-update_etp
et2376;w;HCM_espec-update_etp
et2376a-q01;w;HCM_espec-update_etp
et2376a-v01;w;HCM_espec-update_etp
et2376a;w;HCM_espec-update_etp
et2376b-q01;w;HCM_espec-update_etp
et2376b-v01;w;HCM_espec-update_etp
et2376b;w;HCM_espec-update_etp
et2376c-q01;w;HCM_espec-update_etp
et2376c-v01;w;HCM_espec-update_etp
et2376c;w;HCM_espec-update_etp
et2376d-q01;w;HCM_espec-update_etp
et2376d-v01;w;HCM_espec-update_etp
et2376d;w;HCM_espec-update_etp
et2376rp;p;HCM_espec-update_etp
et2380-b01;w;HCM_espec-update_etp
et2380-g01;w;HCM_espec-update_etp
et2380-q01;w;HCM_espec-update_etp
et2380-v01;w;HCM_espec-update_etp
et2380-z01;w;HCM_espec-update_etp
