wNomeFonte;wSufixo;wSistema
hcm;pf;HCM_espec-update_espec_syspro
totvs-brk-8180;pf;HCM_espec-update_espec_syspro
ES0076;i;HCM_espec-update_espec_syspro_esp
ES0076;w;HCM_espec-update_espec_syspro_esp
ES0076rp;p;HCM_espec-update_espec_syspro_esp
ESBS001;w;HCM_espec-update_espec_syspro_esp
esbs001rp;p;HCM_espec-update_espec_syspro_esp
esbs1001;w;HCM_espec-update_espec_syspro_esp
esbs1001rp;p;HCM_espec-update_espec_syspro_esp
esbs1001tt;i;HCM_espec-update_espec_syspro_esp
esbs1580;w;HCM_espec-update_espec_syspro_esp
esbs1580rp;p;HCM_espec-update_espec_syspro_esp
esbs1580tt;i;HCM_espec-update_espec_syspro_esp
esbs1640;w;HCM_espec-update_espec_syspro_esp
esbs1640rp;p;HCM_espec-update_espec_syspro_esp
esbs3000;w;HCM_espec-update_espec_syspro_esp
esbs3000rp;p;HCM_espec-update_espec_syspro_esp
esbs3000tt;i;HCM_espec-update_espec_syspro_esp
esca0099;w;HCM_espec-update_espec_syspro_esp
esca0099rp;p;HCM_espec-update_espec_syspro_esp
esca0099tt;i;HCM_espec-update_espec_syspro_esp
esfp001;w;HCM_espec-update_espec_syspro_esp
esfp0018;w;HCM_espec-update_espec_syspro_esp
esfp0018rp;p;HCM_espec-update_espec_syspro_esp
esfp001a;w;HCM_espec-update_espec_syspro_esp
esfp001rp;p;HCM_espec-update_espec_syspro_esp
esfp002;w;HCM_espec-update_espec_syspro_esp
esfp003;w;HCM_espec-update_espec_syspro_esp
esfp003rp;p;HCM_espec-update_espec_syspro_esp
esfp003tt;i;HCM_espec-update_espec_syspro_esp
esfp004;w;HCM_espec-update_espec_syspro_esp
esfp004rp;p;HCM_espec-update_espec_syspro_esp
esfp004tt;i;HCM_espec-update_espec_syspro_esp
esfp005;w;HCM_espec-update_espec_syspro_esp
esfp005rp;p;HCM_espec-update_espec_syspro_esp
esfp006;w;HCM_espec-update_espec_syspro_esp
esfp006rp;p;HCM_espec-update_espec_syspro_esp
esfp006tt;i;HCM_espec-update_espec_syspro_esp
esfp007;w;HCM_espec-update_espec_syspro_esp
esfp007rp;p;HCM_espec-update_espec_syspro_esp
esfp008;w;HCM_espec-update_espec_syspro_esp
esfp008rp;p;HCM_espec-update_espec_syspro_esp
esfp009;w;HCM_espec-update_espec_syspro_esp
esfp009rp;p;HCM_espec-update_espec_syspro_esp
esfp010;w;HCM_espec-update_espec_syspro_esp
esfp010a;p;HCM_espec-update_espec_syspro_esp
esfp010rp;p;HCM_espec-update_espec_syspro_esp
esfp011;w;HCM_espec-update_espec_syspro_esp
esfp012-1;i;HCM_espec-update_espec_syspro_esp
esfp012-2;i;HCM_espec-update_espec_syspro_esp
esfp012;w;HCM_espec-update_espec_syspro_esp
esfp013-old;w;HCM_espec-update_espec_syspro_esp
esfp013;w;HCM_espec-update_espec_syspro_esp
esfp015;w;HCM_espec-update_espec_syspro_esp
esfp015rp;p;HCM_espec-update_espec_syspro_esp
esfp015tt;i;HCM_espec-update_espec_syspro_esp
esfp016;w;HCM_espec-update_espec_syspro_esp
esfp016rp;p;HCM_espec-update_espec_syspro_esp
esfp017;w;HCM_espec-update_espec_syspro_esp
esfp019rp;p;HCM_espec-update_espec_syspro_esp
esfp022;w;HCM_espec-update_espec_syspro_esp
esfp022a;w;HCM_espec-update_espec_syspro_esp
esfp022b;w;HCM_espec-update_espec_syspro_esp
esfp022c;w;HCM_espec-update_espec_syspro_esp
esfp022d;w;HCM_espec-update_espec_syspro_esp
esfp023;w;HCM_espec-update_espec_syspro_esp
esfp023rp;p;HCM_espec-update_espec_syspro_esp
esfp025;w;HCM_espec-update_espec_syspro_esp
esfp025rp;p;HCM_espec-update_espec_syspro_esp
